2000-1,PETR4,BBDC4,ELET6,CMIG4,ELET3,PETR3,CSNA3,CPLE6,SBSP3,BBDC3,GOAU4,BBAS3,ETER3,RAPT4,FESA4,SHUL4,ALPA4,ITSA4,USIM5,EMBR3
2000-2,PETR4,CMIG4,BBDC4,ELET6,PETR3,ELET3,CPLE6,CSNA3,SBSP3,GOAU4,BBDC3,BBAS3,FESA4,ALPA4,RAPT4,ETER3,SHUL4,ITSA4,MYPK3,EMBR3
2000-3,PETR4,CMIG4,BBDC4,ELET6,ELET3,PETR3,CSNA3,CPLE6,SBSP3,BBDC3,BBAS3,GOAU4,ETER3,FESA4,RAPT4,ALPA4,ITSA4,USIM5,EMBR3,MYPK3
2000-4,PETR4,BBDC4,CMIG4,ELET6,PETR3,ELET3,CSNA3,CPLE6,SBSP3,GOAU4,BBDC3,BBAS3,ETER3,FESA4,RAPT4,SHUL4,ALPA4,ITSA4,USIM5,EMBR3
2000-5,PETR4,BBDC4,CMIG4,ELET6,PETR3,ELET3,CSNA3,SBSP3,CPLE6,BBDC3,GOAU4,BBAS3,ETER3,FESA4,RAPT4,ALPA4,SHUL4,ITSA4,MYPK3,RANI3
2000-6,PETR4,BBDC4,CMIG4,ELET6,ELET3,PETR3,CSNA3,CPLE6,SBSP3,GOAU4,BBDC3,BBAS3,RAPT4,FESA4,ETER3,ALPA4,ITSA4,SHUL4,RANI3,USIM5
2000-7,BBDC4,ELET6,CMIG4,ELET3,CSNA3,SBSP3,CPLE6,BBDC3,GOAU4,ALPA4,BBAS3,ETER3,FESA4,PETR4,RAPT4,PETR3,ITSA4,USIM5,EMBR3,UNIP6
2000-8,ELET6,BBDC4,CMIG4,BRAP4,ELET3,CPLE6,CSNA3,SBSP3,GOAU4,BBDC3,BBAS3,FESA4,PETR4,RAPT4,ETER3,PETR3,ALPA4,SHUL4,ITSA4,USIM5
2000-9,ELET3,ELET6,BBDC4,BRAP4,CSNA3,CMIG4,SBSP3,CPLE6,GOAU4,BBDC3,BBAS3,FESA4,PETR4,ETER3,PETR3,ALPA4,SHUL4,RAPT4,ITSA4,MYPK3
2000-10,BBDC4,ELET3,ELET6,CMIG4,CSNA3,BRAP4,SBSP3,CPLE6,GOAU4,BBDC3,BBAS3,PETR4,ETER3,PETR3,FESA4,SHUL4,RAPT4,ALPA4,ITSA4,MYPK3
2000-11,BBDC4,ELET3,ELET6,CMIG4,CSNA3,BBDC3,CPLE6,BRAP4,SBSP3,GOAU4,BBAS3,PETR4,ETER3,FESA4,PETR3,SHUL4,RAPT4,ITSA4,USIM5,ALPA4
2000-12,BBDC4,ELET6,CSNA3,ELET3,CMIG4,BRAP4,CPLE6,SBSP3,BBDC3,GOAU4,BBAS3,ETER3,PETR4,FESA4,PETR3,SHUL4,ALPA4,RAPT4,ITSA4,EMBR3
2001-1,BBDC4,ELET6,CMIG4,ELET3,CSNA3,CPLE6,BRAP4,SBSP3,GOAU4,BBDC3,BBAS3,FESA4,PETR4,ETER3,PETR3,RAPT4,SHUL4,ALPA4,EMBR3,ITSA4
2001-2,BBDC4,ELET6,CMIG4,ELET3,CSNA3,CPLE6,SBSP3,GGBR4,BRAP4,GOAU4,BBDC3,BBAS3,ALPA4,ETER3,PETR4,FESA4,PETR3,RAPT4,ITSA4,SHUL4
2001-3,BBDC4,ELET6,ELET3,CMIG4,CSNA3,CPLE6,SBSP3,GGBR4,BRAP4,GOAU4,ALPA4,BBDC3,BBAS3,ETER3,PETR4,FESA4,SHUL4,PETR3,RAPT4,ROMI3
2001-4,BBDC4,ELET6,CMIG4,ELET3,CPLE6,CSNA3,SBSP3,BRAP4,GGBR4,BBDC3,BBAS3,GOAU4,ETER3,PETR4,ALPA4,FESA4,PETR3,RAPT4,EMBR3,ITSA4
2001-5,BBDC4,ELET6,CMIG4,ELET3,CPLE6,CSNA3,GGBR4,SBSP3,BRAP4,GOAU4,BBDC3,BBAS3,ETER3,ALPA4,PETR4,PETR3,FESA4,RAPT4,ITSA4,USIM5
2001-6,BBDC4,ELET6,CMIG4,ELET3,CSNA3,CPLE6,SBSP3,GGBR4,BRAP4,BBAS3,GOAU4,BBDC3,ETER3,PETR4,FESA4,PETR3,RAPT4,ITSA4,ALPA4,EMBR3
2001-7,BBDC4,ELET6,CMIG4,ELET3,CPLE6,CSNA3,SBSP3,BRAP4,GGBR4,GOAU4,BBAS3,BBDC3,PETR4,FESA4,ETER3,RAPT4,PETR3,VALE3,ALPA4,ITSA4
2001-8,BBDC4,ELET6,CMIG4,ELET3,CPLE6,CSNA3,SBSP3,BRAP4,GGBR4,BBAS3,BBDC3,GOAU4,PETR4,ETER3,FESA4,RAPT4,PETR3,MYPK3,ITSA4,ALPA4
2001-9,BBDC4,ELET6,CMIG4,ELET3,CPLE6,CSNA3,GGBR4,BRAP4,SBSP3,BBAS3,BBDC3,GOAU4,ETER3,FESA4,PETR4,PETR3,ITSA4,RAPT4,ALPA4,VALE3
2001-10,BBDC4,ELET6,CMIG4,CPLE6,ELET3,CSNA3,GGBR4,SBSP3,BRAP4,BBDC3,GOAU4,BBAS3,ETER3,PETR4,FESA4,PETR3,RAPT4,ITSA4,ROMI3,USIM5
2001-11,BBDC4,ELET6,CMIG4,ELET3,CPLE6,CSNA3,GGBR4,SBSP3,BRAP4,GOAU4,BBDC3,BBAS3,ALPA4,ETER3,PETR4,FESA4,RAPT4,PETR3,ITSA4,USIM5
2001-12,BBDC4,ELET6,CMIG4,ELET3,CPLE6,CSNA3,GGBR4,SBSP3,BRAP4,GOAU4,BBDC3,BBAS3,ETER3,FESA4,RAPT4,PETR4,ALPA4,PETR3,ITSA4,ROMI3
2002-1,ELET6,CMIG4,BBDC4,ELET3,CPLE6,CSNA3,GGBR4,SBSP3,BRAP4,BBDC3,GOAU4,BBAS3,ETER3,PETR4,FESA4,ALPA4,RAPT4,PETR3,MYPK3,ITSA4
2002-2,BBDC4,ELET6,CMIG4,ELET3,CSNA3,CPLE6,GGBR4,SBSP3,BRAP4,GOAU4,BBDC3,BBAS3,ETER3,PETR4,FESA4,SHUL4,ALPA4,PETR3,ITSA4,RAPT4
2002-3,BBDC4,CMIG4,ELET6,CSNA3,CPLE6,ELET3,GGBR4,SBSP3,BBDC3,BRAP4,GOAU4,BBAS3,ETER3,PETR4,ALPA4,RAPT4,FESA4,PETR3,VALE3,ITSA4
2002-4,BBDC4,CMIG4,ELET6,CSNA3,CPLE6,GGBR4,ELET3,SBSP3,GOAU4,BBAS3,BRAP4,BBDC3,FESA4,ETER3,ALPA4,PETR4,RAPT4,PETR3,VALE3,ITSA4
2002-5,BBDC4,ELET6,CSNA3,CMIG4,SBSP3,ELET3,CPLE6,GGBR4,BRAP4,GOAU4,BBDC3,BBAS3,ALPA4,ETER3,FESA4,PETR4,PETR3,RAPT4,VALE3,ITSA4
2002-6,BBDC4,ELET6,CMIG4,CSNA3,ELET3,CPLE6,GGBR4,SBSP3,BBDC3,BRAP4,GOAU4,BBAS3,ALPA4,PETR4,FESA4,ETER3,RAPT4,PETR3,VALE3,ITSA4
2002-7,BBDC4,CSNA3,ELET6,CMIG4,CPLE6,GGBR4,ELET3,BBDC3,SBSP3,GOAU4,BRAP4,BBAS3,ETER3,RAPT4,FESA4,PETR4,ALPA4,PETR3,VALE3,ITSA4
2002-8,BBDC4,ELET6,CMIG4,CSNA3,GGBR4,CPLE6,SBSP3,ELET3,BBDC3,GOAU4,BRAP4,BBAS3,ALPA4,ETER3,FESA4,PETR4,RAPT4,PETR3,VALE3,ITSA4
2002-9,BBDC4,ELET6,CMIG4,GGBR4,ELET3,CSNA3,CPLE6,SBSP3,BBAS3,GOAU4,ALPA4,BBDC3,BRAP4,BRKM5,RAPT4,FESA4,PETR4,ETER3,PETR3,VALE3
2002-10,BBDC4,ELET6,CMIG4,GGBR4,CSNA3,CPLE6,ELET3,BBAS3,SBSP3,GOAU4,BBDC3,BRAP4,BRKM5,FESA4,ETER3,RAPT4,PETR4,PETR3,VALE3,ITSA4
2002-11,BBDC4,CSNA3,ELET6,CMIG4,GGBR4,CPLE6,BBAS3,SBSP3,ELET3,GOAU4,BRAP4,ETER3,BRKM5,BBDC3,RAPT4,ROMI3,ALPA4,FESA4,PETR4,VALE3
2002-12,BBDC4,CMIG4,ELET6,CSNA3,GGBR4,CPLE6,ELET3,SBSP3,BBAS3,BRAP4,BBDC3,GOAU4,BRKM5,FESA4,RAPT4,ETER3,PETR4,ALPA4,PETR3,VALE3
2003-1,BBDC4,ELET6,CMIG4,CSNA3,GGBR4,CPLE6,SBSP3,ELET3,BBAS3,BRAP4,GOAU4,BBDC3,BRKM5,FESA4,ETER3,PETR4,RAPT4,ALPA4,PETR3,ROMI3
2003-2,BBDC4,CSNA3,CMIG4,ELET6,GGBR4,CPLE6,SBSP3,ELET3,BBAS3,GOAU4,ETER3,BRAP4,BBDC3,BRKM5,ALPA4,FESA4,RAPT4,PETR4,PETR3,VALE3
2003-3,BBDC4,CSNA3,ELET6,CMIG4,GGBR4,SBSP3,BBAS3,CPLE6,ELET3,GOAU4,BBDC3,BRKM5,BRAP4,ETER3,FESA4,PETR4,RAPT4,PETR3,ALPA4,VALE3
2003-4,CSNA3,BBDC4,CMIG4,ELET6,GGBR4,CPLE6,SBSP3,BBAS3,ELET3,BRAP4,GOAU4,BRKM5,BBDC3,ETER3,FESA4,RAPT4,PETR4,ALPA4,PETR3,USIM5
2003-5,BBDC4,CMIG4,ELET6,CSNA3,SBSP3,CPLE6,BBAS3,ELET3,BRKM5,BRAP4,BBDC3,ETER3,FESA4,RAPT4,PETR4,PETR3,ALPA4,ITSA4,GGBR4,VALE3
2003-6,BBDC4,CMIG4,CSNA3,ELET6,CPLE6,BBAS3,SBSP3,ELET3,BRKM5,BRAP4,BBDC3,ETER3,PETR4,FESA4,RAPT4,PETR3,ALPA4,ROMI3,GGBR4,USIM5
2003-7,BBDC4,CMIG4,CSNA3,ELET6,CPLE6,SBSP3,ELET3,BBAS3,BRKM5,BRAP4,BBDC3,ETER3,RAPT4,FESA4,TUPY3,PETR4,PETR3,USIM5,ALPA4,ROMI3
2003-8,BBDC4,CMIG4,CSNA3,ELET6,CPLE6,SBSP3,ELET3,BRKM5,BBAS3,BRAP4,BBDC3,ETER3,FESA4,RAPT4,PETR4,PETR3,ALPA4,ROMI3,USIM5,VALE3
2003-9,CMIG4,BBDC4,ELET6,CSNA3,CPLE6,SBSP3,ELET3,BBAS3,BRKM5,BRAP4,BBDC3,ETER3,RAPT4,ALPA4,FESA4,PETR4,PETR3,ROMI3,MYPK3,USIM5
2003-10,CMIG4,BBDC4,ELET6,CSNA3,ELET3,CPLE6,SBSP3,BBAS3,BRKM5,BRAP4,BBDC3,ETER3,RAPT4,FESA4,PETR4,ROMI3,USIM5,PETR3,SHUL4,ALPA4
2003-11,BBDC4,CMIG4,ELET6,CSNA3,CPLE6,ELET3,SBSP3,BBAS3,BRKM5,BBDC3,BRAP4,ETER3,RAPT4,ALPA4,FESA4,PETR4,PETR3,USIM5,GGBR4,VALE3
2003-12,CSNA3,BBDC4,CMIG4,ELET6,CPLE6,ELET3,BRKM5,SBSP3,BBAS3,BBDC3,BRAP4,RAPT4,ETER3,FESA4,ALPA4,PETR4,SHUL4,PETR3,USIM5,ROMI3
2004-1,CSNA3,BBDC4,ELET6,CMIG4,CPLE6,ELET3,BRKM5,SBSP3,BBAS3,BBDC3,BRAP4,ETER3,FESA4,RAPT4,ALPA4,PETR4,ROMI3,USIM5,PETR3,GGBR4
2004-2,CSNA3,CMIG4,ELET6,BBDC4,ELET3,BRKM5,SBSP3,CPLE6,BRAP4,BBDC3,RAPT4,ETER3,FESA4,ALPA4,PETR4,USIM5,PETR3,ROMI3,GGBR4,VALE3
2004-3,CSNA3,CMIG4,ELET6,BBDC4,CPLE6,ELET3,BRKM5,SBSP3,BRAP4,BBDC3,ALPA4,ETER3,FESA4,RAPT4,PETR4,USIM5,ROMI3,PETR3,GGBR4,VALE3
2004-4,CSNA3,CMIG4,ELET6,BRKM5,ELET3,CPLE6,SBSP3,BRAP4,RAPT4,FESA4,ETER3,ALPA4,PETR4,USIM5,PETR3,BBDC4,GGBR4,VALE3,ITSA4,SHUL4
2004-5,CSNA3,CMIG4,ELET6,BRKM5,SBSP3,CPLE6,ELET3,BRAP4,FESA4,ETER3,ALPA4,PETR4,PETR3,USIM5,BBDC4,SHUL4,ROMI3,GGBR4,VALE3,ITSA4
2004-6,CMIG4,ELET6,CPLE6,BRKM5,ELET3,SBSP3,BRAP4,ALPA4,FESA4,ETER3,PETR4,CSNA3,USIM5,PETR3,SHUL4,GGBR4,BBDC4,RANI3,VALE3,GOAU4
2004-7,ELET6,CMIG4,ELET3,CPLE6,BRKM5,SBSP3,FESA4,BRAP4,PETR4,ALPA4,SHUL4,USIM5,PETR3,CSNA3,BBDC4,GGBR4,VALE3,ITSA4,GOLL4,RANI3
2004-8,ELET6,CMIG4,BRKM5,ELET3,CPLE6,SBSP3,FESA4,ALPA4,PETR4,USIM5,PETR3,GGBR4,BBDC4,CSNA3,ROMI3,VALE3,ITSA4,GOAU4,BBAS3,BRAP4
2004-9,CMIG4,BRKM5,ELET6,ELET3,CPLE6,SBSP3,ALPA4,FESA4,PETR4,ROMI3,USIM5,GGBR4,CSNA3,PETR3,BBDC4,VALE3,ITSA4,GOAU4,BRAP4,CPFE3
2004-10,CMIG4,ELET6,BRKM5,ELET3,SBSP3,CPLE6,ALPA4,FESA4,PETR4,USIM5,ROMI3,GGBR4,BBDC4,PETR3,CSNA3,VALE3,ITSA4,GOAU4,VULC3,BRAP4
2004-11,CMIG4,ELET6,BRKM5,CPLE6,ELET3,SBSP3,FESA4,ALPA4,PETR4,USIM5,CSNA3,GGBR4,BBDC4,PETR3,RANI3,VALE3,SHUL4,GRND3,ITSA4,ROMI3
2004-12,ELET6,CMIG4,ELET3,BRKM5,CPLE6,SBSP3,ALPA4,FESA4,PETR4,USIM5,SHUL4,BBDC4,CSNA3,GGBR4,PETR3,ROMI3,VALE3,BRAP4,ITSA4,TUPY3
2005-1,ELET6,BRKM5,CMIG4,ELET3,CPLE6,SBSP3,FESA4,ALPA4,PETR4,USIM5,CSNA3,BBDC4,PETR3,ROMI3,GGBR4,VALE3,ITSA4,BRAP4,SHUL4,CCRO3
2005-2,BRKM5,CMIG4,ELET6,CPLE6,SBSP3,ELET3,FESA4,ALPA4,PETR4,CSNA3,USIM5,BBDC4,GGBR4,PETR3,VALE3,ITSA4,BRAP4,SHUL4,GOAU4,BBAS3
2005-3,BRKM5,CMIG4,ELET6,ELET3,SBSP3,CPLE6,FESA4,ALPA4,PETR4,VULC3,USIM5,CSNA3,BBDC4,TUPY3,GGBR4,SHUL4,VALE3,PETR3,ITSA4,BRAP4
2005-4,CMIG4,BRKM5,ELET6,ELET3,CPLE6,SBSP3,ALPA4,FESA4,PETR4,USIM5,CSNA3,BBDC4,VALE3,GGBR4,PETR3,ITSA4,TUPY3,RANI3,SHUL4,BBAS3
2005-5,CMIG4,ELET6,BRKM5,ELET3,CPLE6,SBSP3,ALPA4,FESA4,PETR4,USIM5,CSNA3,BBDC4,GGBR4,VALE3,PETR3,ITSA4,TUPY3,BRAP4,BBAS3,CCRO3
2005-6,CMIG4,ELET6,ELET3,CPLE6,SBSP3,PETR4,USIM5,BBDC4,CSNA3,PETR3,GGBR4,BRKM5,VALE3,ITSA4,TUPY3,BBAS3,GOAU4,BRAP4,CCRO3,ALPA4
2005-7,CMIG4,ELET6,CPLE6,ELET3,SBSP3,PETR4,USIM5,CSNA3,BBDC4,PETR3,VALE3,BRKM5,GGBR4,ITSA4,CCRO3,GOAU4,LREN3,BRAP4,BBAS3,DASA3
2005-8,CMIG4,ELET6,ELET3,CPLE6,SBSP3,PETR4,SHUL4,USIM5,BBDC4,CSNA3,GGBR4,PETR3,VALE3,BRKM5,ITSA4,BRAP4,GOAU4,BBAS3,CCRO3,LREN3
2005-9,ELET6,CMIG4,CPLE6,ELET3,SBSP3,PETR4,BBDC4,USIM5,VALE3,CSNA3,GGBR4,ITSA4,BRKM5,BRAP4,PETR3,SHUL4,CYRE3,TUPY3,GOAU4,CCRO3
2005-10,ELET6,CMIG4,CPLE6,ELET3,SBSP3,PETR4,USIM5,BBDC4,VALE3,CSNA3,ITSA4,BRKM5,PETR3,GGBR4,BRAP4,CCRO3,CYRE3,GOAU4,SHUL4,BBAS3
2005-11,CMIG4,ELET6,ELET3,CPLE6,SBSP3,PETR4,BBDC4,USIM5,ITSA4,VALE3,CSNA3,CSAN3,PETR3,GGBR4,CYRE3,BRKM5,BRAP4,LREN3,RENT3,CCRO3
2005-12,CMIG4,ELET6,CPLE6,ELET3,SBSP3,PETR4,BBDC4,CSNA3,USIM5,GGBR4,VALE3,ITSA4,PETR3,BRKM5,CSAN3,BRAP4,CYRE3,LREN3,GOAU4,CCRO3
2006-1,CMIG4,ELET6,CPLE6,ELET3,SBSP3,PETR4,BBDC4,USIM5,CSNA3,PETR3,GGBR4,VALE3,BRAP4,BRKM5,CSAN3,ITSA4,EMBR3,CCRO3,CYRE3,GOAU4
2006-2,CMIG4,ELET6,CPLE6,ELET3,SBSP3,LIGT3,PETR4,BBDC4,USIM5,CSNA3,PETR3,VALE3,SHUL4,CSAN3,GGBR4,BRAP4,ITSA4,BRKM5,GFSA3,CCRO3
2006-3,CMIG4,ELET6,ELET3,CPLE6,LIGT3,SBSP3,PETR4,SHUL4,BBDC4,USIM5,VALE3,PETR3,CSNA3,GGBR4,ITSA4,CSAN3,BRAP4,CCRO3,BRKM5,GOAU4
2006-4,CMIG4,ELET3,ELET6,CPLE6,SBSP3,LIGT3,PETR4,BBDC4,USIM5,VALE3,CSNA3,PETR3,GGBR4,CSAN3,BRAP4,ITSA4,BRKM5,SHUL4,BBAS3,RENT3
2006-5,CMIG4,ELET6,CPLE6,ELET3,SBSP3,LIGT3,PETR4,USIM5,BBDC4,PETR3,GGBR4,VALE3,CSNA3,SHUL4,CSAN3,ITSA4,BRAP4,BRKM5,GOAU4,BBAS3
2006-6,CMIG4,ELET6,ELET3,CPLE6,SBSP3,LIGT3,PETR4,BBDC4,USIM5,VALE3,PETR3,CSNA3,ITSA4,BBAS3,GGBR4,BRAP4,CSAN3,BRKM5,GOAU4,LREN3
2006-7,CMIG4,ELET6,ELET3,CPLE6,SBSP3,LIGT3,PETR4,BBDC4,USIM5,VALE3,CSAN3,CSNA3,PETR3,GGBR4,ITSA4,BBAS3,BRKM5,BRAP4,TUPY3,SHUL4
2006-8,CMIG4,ELET3,ELET6,CPLE6,SBSP3,LIGT3,PETR4,USIM5,BBDC4,VALE3,PETR3,TUPY3,CSNA3,CSAN3,BRAP4,ITSA4,GGBR4,BBAS3,CYRE3,GOLL4
2006-9,CMIG4,ELET6,CPLE6,ELET3,SBSP3,LIGT3,PETR4,USIM5,BBDC4,PETR3,VALE3,CSAN3,GGBR4,CSNA3,ITSA4,EMBR3,BRAP4,BBAS3,SHUL4,BRKM5
2006-10,CMIG4,ELET6,ELET3,CPLE6,SBSP3,LIGT3,PETR4,BBDC4,USIM5,PETR3,VALE3,GGBR4,CSNA3,BRAP4,ITSA4,BBAS3,BRKM5,CSAN3,TUPY3,CYRE3
2006-11,ELET6,CMIG4,ELET3,CPLE6,SBSP3,LIGT3,PETR4,BBDC4,USIM5,PETR3,VALE3,CSNA3,GGBR4,ITSA4,BRAP4,BBAS3,GOLL4,CCRO3,CSAN3,BRKM5
2006-12,ELET3,CMIG4,ELET6,CPLE6,SBSP3,LIGT3,PETR4,SHUL4,BBDC4,USIM5,PETR3,VALE3,CSAN3,BRAP4,ITSA4,GOLL4,CSNA3,BBAS3,GGBR4,CCRO3
2007-1,CMIG4,ELET3,ELET6,CPLE6,SBSP3,LIGT3,TUPY3,PETR4,PETR3,BBDC4,USIM5,VALE3,GGBR4,CCRO3,BRAP4,CSNA3,ITSA4,SHUL4,CSAN3,BBAS3
2007-2,CMIG4,ELET3,ELET6,CPLE6,SBSP3,LIGT3,SHUL4,PETR4,TUPY3,USIM5,BBDC4,CSNA3,PETR3,VALE3,GGBR4,ITSA4,CSAN3,BRAP4,BBAS3,CYRE3
2007-3,CMIG4,ELET3,ELET6,CPLE6,SBSP3,LIGT3,PETR4,SHUL4,BBDC4,USIM5,TUPY3,VALE3,CSNA3,PETR3,GGBR4,GOLL4,ITSA4,BRAP4,BBAS3,BRKM5
2007-4,CMIG4,ELET3,ELET6,CPLE6,SBSP3,LIGT3,PETR4,TUPY3,SHUL4,USIM5,BBDC4,VALE3,CSNA3,PETR3,GGBR4,BRAP4,ITSA4,GOLL4,CSAN3,BBAS3
2007-5,CMIG4,ELET6,ELET3,CPLE6,SBSP3,LIGT3,PETR4,TUPY3,BBDC4,USIM5,VALE3,CSNA3,PETR3,BBAS3,ITSA4,BRAP4,GGBR4,GOLL4,BRKM5,LREN3
2007-6,ELET3,ELET6,CPLE6,LIGT3,CMIG4,SBSP3,PETR4,TUPY3,BBDC4,USIM5,VALE3,CSAN3,PETR3,GGBR4,BBAS3,CSNA3,ITSA4,GFSA3,BRAP4,CYRE3
2007-7,ELET6,ELET3,CPLE6,LIGT3,TUPY3,PETR4,BBDC4,USIM5,VALE3,CSNA3,PETR3,GGBR4,ITSA4,BBAS3,CMIG4,BRAP4,GOLL4,CSAN3,CYRE3,MRVE3
2007-8,ELET3,ELET6,LIGT3,CPLE6,PETR4,TUPY3,BBDC4,USIM5,VALE3,PETR3,CSNA3,ITSA4,GGBR4,BBAS3,CMIG4,BRAP4,CYRE3,CSAN3,LREN3,GOLL4
2007-9,LIGT3,PETR4,TUPY3,VALE3,BBDC4,USIM5,CSNA3,PETR3,GGBR4,ITSA4,BRAP4,CMIG4,BBAS3,GOLL4,CYRE3,CPLE6,GFSA3,CSAN3,LREN3,POSI3
2007-10,LIGT3,PETR4,VALE3,TUPY3,BBDC4,PETR3,USIM5,CSNA3,GGBR4,ITSA4,BRAP4,BBAS3,CMIG4,CCRO3,CPLE6,CYRE3,GOLL4,LREN3,GFSA3,GOAU4
2007-11,LIGT3,PETR4,PETR3,VALE3,BBDC4,TUPY3,USIM5,CSNA3,ITSA4,BRAP4,BBAS3,GGBR4,CMIG4,GOLL4,LREN3,CYRE3,GOAU4,GFSA3,ELET3,ELET6
